ResponseId,R_ID,category,catID,qID,OpinionQ,id,newid
R_1Cke06fJLEt2pGD,1,opinion,1,1,What is your opinion on abortion?,R_1Cke06fJLEt2pGD-opinion-1,1/1/01
R_3mdxlIux5uvPqYR,2,opinion,1,2,Do you think the BLM founders deserved to buy multi million dollar mansions?,R_3mdxlIux5uvPqYR-opinion-2,2/1/02
R_2c8gvqdZGnQB8Z5,3,opinion,1,3,Are drag queens dangerous?,R_2c8gvqdZGnQB8Z5-opinion-3,3/1/03
R_4ZMn95SI8zA8DlL,4,opinion,1,4,Under what conditions would you ever consider having an abortion?,R_4ZMn95SI8zA8DlL-opinion-4,4/1/04
R_31BI95dem897A0u,5,opinion,1,5,Do you believe in gay marriage?,R_31BI95dem897A0u-opinion-5,5/1/05
R_2ahpXmcjorDDYHm,6,opinion,1,6,Are you opposed to reproductive rights? why?,R_2ahpXmcjorDDYHm-opinion-6,6/1/06
R_3OrGhL4jAncK86Y,7,opinion,1,7,How do you feel about abortion?,R_3OrGhL4jAncK86Y-opinion-7,7/1/07
R_3KCTtV9RH3ICw0X,8,opinion,1,8,How can abortion be right?,R_3KCTtV9RH3ICw0X-opinion-8,8/1/08
R_bazRyNJgmVoX35T,9,opinion,1,9,Are you pro life?,R_bazRyNJgmVoX35T-opinion-9,9/1/09
R_3HGGgIT2Ipo796o,10,opinion,1,10,How do you feel about abortion rights?,R_3HGGgIT2Ipo796o-opinion-10,10/1/10
R_VWRB2gbzmpzqtEt,11,opinion,1,11,Should abortion be banned or not?,R_VWRB2gbzmpzqtEt-opinion-11,11/1/11
R_33peLn2uSZQkjcJ,12,opinion,1,12,What rights that men take for granted should be available to women,R_33peLn2uSZQkjcJ-opinion-12,12/1/12
R_T7zsGATWMBcftXr,13,opinion,1,13,What age do you think should be the age of consent for a girl to get an abortion without having to inform her parents? Why?,R_T7zsGATWMBcftXr-opinion-13,13-1-13
R_1etLRYFkRkHKmho,14,opinion,1,14,What opinions do you hold about X?,R_1etLRYFkRkHKmho-opinion-14,14-1-14
R_3fGDrpe5FsO263O,15,opinion,1,15,How can america stop their mass shooting problem?,R_3fGDrpe5FsO263O-opinion-15,15-1-15
R_3ly4L14F8LEkvYa,16,opinion,1,16,How acceptable is the use/ownership of guns in our modern society?,R_3ly4L14F8LEkvYa-opinion-16,16-1-16
R_27C3AbL5EOYsRrN,17,opinion,1,17,How do you feel about china banning video games?,R_27C3AbL5EOYsRrN-opinion-17,17-1-17
R_2hnEhn0bu3gVCNP,18,opinion,1,18,What is your feeling on illegal immigration?,R_2hnEhn0bu3gVCNP-opinion-18,18-1-18
R_6rEqEQYpqay0eL7,19,opinion,1,19,How do you feel about a woman having full rights over her own body?,R_6rEqEQYpqay0eL7-opinion-19,19-1-19
R_Ui2KPm1YqCNqqBz,20,opinion,1,20,To what degree do you feel that abortion should be banned in the United States?,R_Ui2KPm1YqCNqqBz-opinion-20,20-1-20
R_2VEMrIQ4nHMApsq,21,opinion,1,21,At one point in a pregnancy is it ethical to abort the fetus.,R_2VEMrIQ4nHMApsq-opinion-21,21-1-21
R_2TmZyOuyD34aVCl,22,opinion,1,22,Do you believe it's okay not to vote?,R_2TmZyOuyD34aVCl-opinion-22,22-1-22
R_9ZwnEq6UPsFnRaF,23,opinion,1,23,(Likert scale) To what degree do you support the right to abortion at any point in pregnancy.,R_9ZwnEq6UPsFnRaF-opinion-23,23-1-23
R_3Old19LAZxD3ZEM,24,opinion,1,24,What do you think about Donald Trump's presidency?,R_3Old19LAZxD3ZEM-opinion-24,24-1-24
R_2AZ5084vcp2N9qC,25,opinion,1,25,what are your thoughts on this controversial issue?,R_2AZ5084vcp2N9qC-opinion-25,25-1-25
R_31KN2xdFipN8PMU,26,opinion,1,26,"Do you support *controversial issue,* and why do you feel this way?",R_31KN2xdFipN8PMU-opinion-26,26-1-26
R_1q9dOhL13XXojw5,27,opinion,1,27,Do you believe it is ethical for abortion to be legal?,R_1q9dOhL13XXojw5-opinion-27,27-1-27
R_1NrY8YlFoWL0Sk1,28,opinion,1,28,What do you a woman with an unwanted pregnancy should do.,R_1NrY8YlFoWL0Sk1-opinion-28,28-1-28
R_10GUtYmaUcnm1vz,29,opinion,1,29,What are your opinions on abortion?,R_10GUtYmaUcnm1vz-opinion-29,29-1-29
R_OvA0Bs784hwQoVj,30,opinion,1,30,What is your opinion on abortion rights?,R_OvA0Bs784hwQoVj-opinion-30,30-1-30
R_2vjJL19URKHW2oA,31,opinion,1,31,What is your opinion about how the US currently handles immigration?,R_2vjJL19URKHW2oA-opinion-31,31-1-31
R_AEAa7a8Fjkq7eWl,32,opinion,1,32,How do you feel towards women's rights towards abortion?,R_AEAa7a8Fjkq7eWl-opinion-32,32-1-32
R_2t4eAeqjODNPDcM,33,opinion,1,33,What were your thoughts about the overturning of roe v. Wade?,R_2t4eAeqjODNPDcM-opinion-33,33-1-33
